date,tweet,username,displayname,description,replycity,retweetcount,likecount,language,source
2022-11-16 12:26:43+00:00,"While loops
#pkdata #codanic #pythonkachilla #DataScience https://t.co/qoNkZ7QijS",muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-13 15:42:26+00:00,"Learn Data Visualization with @aammar_tufail at #codanic. 
join live at #codanic
https://t.co/u1p85Y6p7R

#dataviz 
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-11 23:44:52+00:00,"Confused about the history of #DataScience ??? 
well here is a brief info about Data science since 1943
#DataScience | #MachineLearning | #Python | #DataVisualization | #pythonkachilla | @aammar_tufail https://t.co/nTgP3VjeO6",UmairSalim5,Umair Salim,"Data Scientist
Python
Machine learning | Regular tweets about: #DataScience | #python #pythonkachilla #rstats | #pakdatasci | #ExploratoyDataAnalysis",0,1,2,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2022-11-09 19:49:26+00:00,"These days I'm learning 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐜𝐞 from #𝐜𝐨𝐝𝐚𝐧𝐢𝐜𝐬 and my fellows ask me that 𝐖𝐡𝐨 𝐢𝐬 𝐃𝐚𝐭𝐚 𝐒𝐜𝐢𝐞𝐧𝐭𝐢𝐬𝐭? 𝐖𝐡𝐚𝐭 𝐝𝐨 𝐓𝐡𝐞𝐲 𝐃𝐨?
So answer is here.
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning https://t.co/rmR98mosvB",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-09 12:21:53+00:00,"#helpful #DataScience #DataAnalytics #DataScientist #DataVisualization 
#pkcpaid #pythonkachilla #Ammartufail #drammartufail https://t.co/nlJBpqIGR8",SADaudpoto,Salman Abbasi Daudpoto,Learning to live,0,0,0,qht,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-06 17:33:57+00:00,#DataScience | #RNAseq | #RiboSeq | #Bioinformatics #python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci,1PgCLL19xLgVcT8,mubashar siddique,😜,0,1,4,qht,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-04 18:36:44+00:00,Python libraries frameworks. #pkdatascience #codanics #pythonkachilla https://t.co/xU3skf2ZY6,muneer_ahmed87,Muneer Ahmed,"learning #Data science
#pakdatascience",0,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-11-04 06:32:47+00:00,"What’s New in Python 3.11 ?
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning
#Python 
🧵 https://t.co/KPjK0oGAqp",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",1,0,5,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-03 15:04:14+00:00,"Some people are concerned about where data science is used. 
Here are some applications of #DataScience in different fields.
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning
#Python https://t.co/AEH6jCHTES",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",0,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-11-01 15:29:45+00:00,"5 types of statistical analysis. 
#pakdatascience #codex #datascience2022 #pythonkachilla #codanics https://t.co/YPXuf24jiN",KhizarJawad10,Khizar Jawad,Student of Data Science in 2022,0,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-31 16:50:51+00:00,"The Reinforcement Learning Process
In a way, Reinforcement Learning is the science of making optimal decisions using experiences. 
A Thread 1/3
#Codanics #pythonkachilla #MachineLearning  #ReinforcementLearning #DataScience  #Artificial_Intelligence #pakDataScience https://t.co/WeIVB0L6P5",MAliKhan_Heu,@MUHAMMAD_ALI_KHAN,MS Scholar| #Data Analysis| #impact of organizational support on the employee satisfaction| #FutureData_Scientist| #pythonlearning| #Github| #Heu,1,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-28 20:37:55+00:00,"Struggling to choose right type of chart for  your Data , these web sites may help to choose.#codanics #pakdatasci #pythonkachilla #DataScience #Python #dataviz #AcademicTwitter 👇🧵",Aasmatan,Asma,"learning Python. Data Science ,Machine learning",1,2,3,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2022-10-27 17:21:16+00:00,"How to Set an IDE for Data Science?
Three softwares are must to set an IDE for Data Science.
1. Python (latest version)
2. VsCode
3. Miniconda
#pythonkachilla 
#pakdatasci 
#DataScience 
#pythonlearning
#Python 
🧵",Musharaf_Ahsan_,𝓜𝓾𝓼𝓱𝓪𝓻𝓪𝓯 𝓐𝓱𝓼𝓪𝓷,"Student at CUVAS.
Learning #Datascience and MetaAnalysis with @aammar_tufail•

CS • python 🐍 • #pakdatasci👥 •",1,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-27 07:09:59+00:00,"3-days workshop on Data Science in Agriculture | Day-1
By : Dr. Ammar Tufail, @Google Scholar
My country is rising.😇
Location : University of Faisalabad
#datascience #pythonkachilla #python  #dataanalytics #pythonforbeginners https://t.co/DEDri6jjcb",ZohaibTaj8,Zohaib Taj,Data Science | IT Support | Graphic Design,1,3,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-25 15:57:53+00:00,"Three days workshop on Data Science with Python in Agriculture (in Urdu / Hindi)
Registration fee is in PKR which is less than USD 2.
#codanics #pakdatasci #pythonkachilla #DataScience #Python #dataviz #phdchat #phdlife #AcademicTwitter https://t.co/PJHFlJ8oBx",jabirali_amr,Jabir Ali,"|DPhil Offer Holder| from the @UniofOxford
|Microbiologist|💊🧬🧫🦠|
#Oxford #OxfordChemistry #SchofieldOxford #AMR  #Scholarships #NIH_Pakistan",0,0,2,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-10-25 15:46:28+00:00,literally its a #pythonkachilla https://t.co/tLi7LIuGb6,SADaudpoto,Salman Abbasi Daudpoto,Learning to live,0,0,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-10-25 15:36:17+00:00,"Three days workshop on Data Science with Python in Agriculture (in Urdu / Hindi)
Registration fee is in PKR which is less than USD 2.
#codanics #pakdatasci #pythonkachilla #DataScience #Python #dataviz #phdchat #phdlife #AcademicTwitter",uzmarani0,Uzma Rani,"Mphill Mathematics, Abbottabad University of science and Technology",0,1,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-25 07:36:40+00:00,"#codanics #pakdatasci #Pythonkachilla 
@aammar_tufail https://t.co/DYHqtFsv8Y",ASHOKPYTHON,ASHOK KUMAR,,0,0,1,qme,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-10-25 07:24:29+00:00,"Three days workshop on Data Science with Python in Agriculture (in Urdu / Hindi)
Registration fee is in PKR which is less than USD 2.
#codanics #pakdatasci #pythonkachilla #DataScience #Python #dataviz #phdchat #phdlife #AcademicTwitter https://t.co/L0OfzEByyp",aammar_tufail,Dr. Aammar Tufail,PhD | Regular tweets about: #DataScience | #RNAseq | #RiboSeq | #Bioinformatics #python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci,5,60,87,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-22 17:53:15+00:00,"It's Amazing to work on a Bivariate plot and BarPlot
Thanks, @aammar_tufail for a Great platform for learning 
#DataScience #DataVisualization #pythonkachilla https://t.co/Ug0rKmJTqG",AbdulRe12374738,Abdul Rehman,Techlonogy Enthusiast @DataSciecne Tweet about #Python #Machine Learning,0,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-22 06:24:08+00:00,"Weekend Productive time 
#pythonkachilla
#datascience
#coding https://t.co/3qTdotPOE7",aslam_ihme,Muhammad Aslam Baig,"PhD student at University of Chinese Academy of Sciences, China",0,0,1,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2022-10-11 09:48:39+00:00,"Create a customized #WordCloud of a #research #paper in #Python. 

#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization #AcademicTwitter #AcademicChatter #PhD #Researchpapers #WritingCommunity #writers 
#Code in the following 📷 https://t.co/t1WEWPW31Y",kashifrazagill1,Kashif Raza,Engineer | RA at #LUMS | Enthusiast about Machine Learning and Data Science | #pakdataScience,0,5,7,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-07 21:35:59+00:00,"𝙈𝙀𝙏𝘼-𝘼𝙉𝘼𝙇𝙔𝙎ℹ️𝙎 - 𝙒𝙝𝙮 𝙙𝙤 𝙬𝙚 𝙙𝙤 𝙞𝙩 𝙖𝙣𝙙 𝙃𝙤𝙬 𝙬𝙚 𝙙𝙤 𝙞𝙩 !!

A 🧵 ⤵️
#pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #AcademicTwitter  #Academia #AcademicChatter #PhD #metaanalysis #research https://t.co/XpVIIAMroz",MalikHassanAR,Malik Hassan,MS Graduate | #DataAnalyst | #DataScientist | Seeking for PHD | #pakdatasci| Machine Learning and Deep Learning Researcher,1,3,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-07 19:33:57+00:00,"Have you ever heard about Meta-Analysis?🤔 If not let me tell you what it is.
 #pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #AcademicTwitter  #Academia #AcademicChatter",taqihaider9,Taqi Haider🇵🇰,"Electrical Engineer | #pythonprogrammer | Tweets about #DataScience | #MachineLearning |#python |
 #pakdataScience | #FitnessFreak",1,2,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-07 18:41:17+00:00,"Smart Grid System: Efficient and quicker transmission of electricity. Reduced operations and management costs for utilities, and ultimately lower power costs for consumers.
#python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci https://t.co/VqPc385UTo",ShehlaTahir01,Shehla Tahir,MPhil Scholar | #DataScience | #ComputerScience | #IoT | #IoTsecurity #python #rstats #MetaAnalysis #machinelearning | #systemAdministrator | #pakdatasci,0,6,4,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-10-07 18:26:39+00:00,#python #pythonkachilla #rstats #MetaAnalysis #machinelearning #pakdatasci,ShehlaTahir01,Shehla Tahir,MPhil Scholar | #DataScience | #ComputerScience | #IoT | #IoTsecurity #python #rstats #MetaAnalysis #machinelearning | #systemAdministrator | #pakdatasci,0,2,1,qht,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-28 19:09:12+00:00,"Log transformation is a powerful technique in #ML that can potentially:
1. Reduce the skewness in data
2. Reduce the effects of outliers
3. Make data normally distributed
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization #Statistics #AI https://t.co/YuB4X43ytL",kashifrazagill1,Kashif Raza,Engineer | RA at #LUMS | Enthusiast about Machine Learning and Data Science | #pakdataScience,0,2,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-16 18:25:25+00:00,"For example, consider the relationship between rainfall and rice yields under constant temperature conditions. 
In the next thread, I will write about the remaining part of the basic statistics used for #DataAnalysis #pakdatasci #Python #codanics #pythonkachilla2 #pythonkachilla",HannanBhatti008,Abdul Hannan,"Computer Scientist💻| Data Analyst 📊 | Data Science 📈 |Machine Learning 🤖
I'm a tech geek who loves to code in python and likes to play with numbers.",0,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-16 14:23:55+00:00,"I have observed that streamlit_drawable_canvas works best on black and white color schemes while testing images, but does not work well on other color schemes other than black and white.
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization",Jatoi8Sahil,Engr. Sahil Jatoi,Data Scientist | Deep learning | Machine Learning | AI | GCP | Vice Chair ACM & ACM/W | Vice Chair IEEE | GDC Secretary | Member of PUAN | Tech Evangelist,1,1,6,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-16 14:10:17+00:00,"What are the types of Operating Systems?
#pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #MachineLearning  #DataVisualization #os #interface #operatingsystem 
In this #Thread, we will see what are the different types of Operating systems. So, let's get started. https://t.co/ZuKZ8ebLEg",Moavia112,Moavia Hassan,BS Computer Science | Regular Tweets about : #DataScience | #ComputerScience | #EDA | #python | #Office365 | #MetaAnalysis | #machinelearning | #pakdatasci,1,0,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-14 16:03:51+00:00,"Did you know there are two types of object detection algorithms? 
One-Stage Detectors
Two-stage detectors
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization #Deeplearning
Ref:
https://t.co/tZrqhhjV04
https://t.co/2O4vQ5mhY3",Jatoi8Sahil,Engr. Sahil Jatoi,Data Scientist | Deep learning | Machine Learning | AI | GCP | Vice Chair ACM & ACM/W | Vice Chair IEEE | GDC Secretary | Member of PUAN | Tech Evangelist,0,0,3,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-14 11:13:25+00:00,"The Five Most Popular Operating Systems
#pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #MachineLearning  #DataVisualization #os #interface #operatingsystem 
There are five main types of operating systems.
Let us know one by one
A Thread👇",Moavia112,Moavia Hassan,BS Computer Science | Regular Tweets about : #DataScience | #ComputerScience | #EDA | #python | #Office365 | #MetaAnalysis | #machinelearning | #pakdatasci,1,1,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-14 10:50:39+00:00,"#Scopus database search ""Machine Learning"" shows that 392,013 documents results. How different fields are adopting modern methods in their research. 
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization #energy #physics #engineering #maths https://t.co/csrKgSYV4G",kashifrazagill1,Kashif Raza,Engineer | RA at #LUMS | Enthusiast about Machine Learning and Data Science | #pakdataScience,0,5,12,en,"<a href=""https://www.canva.com"" rel=""nofollow"">Canva</a>"
2022-09-14 10:50:04+00:00,"Did you know the History of the Operating System?🤔
#pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #MachineLearning  #DataVisualization #os #interface #operatingsystem 
Know in a Thread below👇",Moavia112,Moavia Hassan,BS Computer Science | Regular Tweets about : #DataScience | #ComputerScience | #EDA | #python | #Office365 | #MetaAnalysis | #machinelearning | #pakdatasci,1,0,2,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-14 10:20:36+00:00,"What is an Operating System? 🤔
Know in a Thread.👇
#pythonkachilla2 #pythonkachilla #pakdatasci #DataScience #MachineLearning  #Datavisualization",Moavia112,Moavia Hassan,BS Computer Science | Regular Tweets about : #DataScience | #ComputerScience | #EDA | #python | #Office365 | #MetaAnalysis | #machinelearning | #pakdatasci,1,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
2022-09-14 00:07:26+00:00,"#GitHub #copilot helps to write code, but we can’t use it inside Google Colab.
Issue: Copilot does not support Colab.
https://t.co/NskdtV3PG3 is an AI code writing assistant for Colab. 
#pythonkachill2 #pythonkachilla #pakdatasci #DataScience #MachineLearning #Datavisualization https://t.co/jBSgTiCvyv",AsifAli02470010,Asif Ali,BS Computer Science  | #MachineLearning | #Deeplearning | #python | Research Scholar | Learning #DataScience & #DataAnalysing | #pakdataScience,0,1,1,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2022-09-13 15:02:43+00:00,"In the next tweet, I will write about the remaining parts of Statistics for #DataScience.
 Follow me for more updates related to #Python.
#machinelearning #codanics #pythonkachilla2 #pythonkachilla #MachineLearning  #DataVisualization",HannanBhatti008,Abdul Hannan,"Computer Scientist💻| Data Analyst 📊 | Data Science 📈 |Machine Learning 🤖
I'm a tech geek who loves to code in python and likes to play with numbers.",0,2,1,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
